   1. training reward:  -1.03, validation reward:  -1.12, loss: -2.0425
  21. training reward:  -1.24, validation reward:  -1.06, loss: -1.9336
  41. training reward:  -0.87, validation reward:  -1.03, loss: -1.6772
  61. training reward:  -1.02, validation reward:  -1.09, loss: -0.9840
  81. training reward:  -1.05, validation reward:  -0.91, loss: -1.3069
 101. training reward:  -0.92, validation reward:  -1.57, loss: -1.4064
 121. training reward:  -0.94, validation reward:  -0.52, loss: -1.6897
 141. training reward:  -0.85, validation reward:  -1.06, loss: -1.2285
 161. training reward:  -0.90, validation reward:  -1.27, loss: -2.3680
 181. training reward:  -0.65, validation reward:  -0.70, loss: -1.5402
 201. training reward:  -0.27, validation reward:  -0.70, loss: -1.5011
 221. training reward:  -0.47, validation reward:  -0.01, loss: -1.0899
 241. training reward:  -0.42, validation reward:  -0.46, loss: -1.3360
 261. training reward:  -0.48, validation reward:  -0.34, loss: -1.7019
 281. training reward:  -0.46, validation reward:   0.70, loss: -1.2773
 301. training reward:  -0.28, validation reward:  -0.85, loss: -1.3023
 321. training reward:  -0.42, validation reward:   0.02, loss: -1.0423
 341. training reward:  -0.53, validation reward:  -0.64, loss: -2.8014
 361. training reward:  -0.16, validation reward:  -0.49, loss: -1.8059
 381. training reward:  -0.29, validation reward:  -0.49, loss: -1.7995
 401. training reward:  -0.16, validation reward:   0.02, loss: -1.1375
 421. training reward:   0.03, validation reward:   1.06, loss: -1.2854
 441. training reward:   0.31, validation reward:  -0.16, loss: -1.9174
 461. training reward:  -0.23, validation reward:   1.88, loss: -1.2677
 481. training reward:  -0.25, validation reward:  -0.01, loss: -3.0768
 501. training reward:  -0.12, validation reward:  -0.25, loss: -4.5463
 521. training reward:  -0.42, validation reward:  -0.64, loss: -2.8381
 541. training reward:  -0.12, validation reward:   0.17, loss: -2.4636
 561. training reward:  -0.24, validation reward:  -0.37, loss: -3.3898
 581. training reward:   0.36, validation reward:   0.14, loss: -1.5451
 601. training reward:  -0.00, validation reward:  -0.70, loss: -1.9908
 621. training reward:   0.47, validation reward:   0.32, loss: -1.6061
 641. training reward:   0.17, validation reward:  -0.88, loss: -2.2540
 661. training reward:   0.28, validation reward:   0.47, loss: -1.3526
 681. training reward:   0.24, validation reward:   0.23, loss: -1.9037
 701. training reward:  -0.22, validation reward:  -0.07, loss: -2.5608
 721. training reward:   0.20, validation reward:  -0.28, loss: -3.4538
 741. training reward:   0.51, validation reward:   0.65, loss: -1.0467
 761. training reward:   0.26, validation reward:   1.04, loss: -2.1838
 781. training reward:   0.65, validation reward:   0.17, loss: -0.9703
 801. training reward:   0.61, validation reward:   0.17, loss: -0.7233
 821. training reward:   0.17, validation reward:   0.65, loss: -1.5546
 841. training reward:   0.68, validation reward:   0.20, loss: -0.7138
 861. training reward:   0.34, validation reward:   0.59, loss: -1.2147
 881. training reward:   0.66, validation reward:   1.87, loss: -1.4577
 901. training reward:   0.43, validation reward:   0.20, loss: -0.7489
 921. training reward:   0.94, validation reward:   0.89, loss: -0.9433
 941. training reward:   0.85, validation reward:   0.95, loss: -1.1955
 961. training reward:   0.85, validation reward:   0.38, loss: -0.5413
 981. training reward:   0.69, validation reward:   1.61, loss: -1.1198
1001. training reward:   0.96, validation reward:  -0.04, loss: -1.0467
1021. training reward:   0.38, validation reward:   1.07, loss: -0.6855
1041. training reward:   0.37, validation reward:   1.42, loss: -1.7583
1061. training reward:   0.58, validation reward:   1.13, loss: -1.2249
1081. training reward:   1.40, validation reward:   0.35, loss: -2.5769
1101. training reward:   0.83, validation reward:   1.15, loss: -0.8146
1121. training reward:   0.80, validation reward:   0.26, loss: -1.0420
1141. training reward:   0.80, validation reward:   0.50, loss: -0.9729
1161. training reward:   1.02, validation reward:   2.26, loss: -1.4906
1181. training reward:   0.75, validation reward:   0.50, loss: -0.7504
1201. training reward:   0.64, validation reward:   0.11, loss: -1.2753
1221. training reward:   0.56, validation reward:  -0.01, loss: -2.3577
1241. training reward:   0.49, validation reward:   0.56, loss: -3.2352
1261. training reward:   0.87, validation reward:   0.38, loss: -0.7209
1281. training reward:   0.66, validation reward:   1.01, loss: -0.7723
1301. training reward:   0.73, validation reward:   1.01, loss: -2.6271
1321. training reward:   1.03, validation reward:   0.23, loss: -0.9119
1341. training reward:   0.87, validation reward:   0.47, loss: -0.8619
1361. training reward:   0.45, validation reward:   0.98, loss: -3.3260
1381. training reward:   0.89, validation reward:   0.65, loss: -0.7562
1401. training reward:   0.34, validation reward:   2.29, loss: -3.7860
1421. training reward:   1.05, validation reward:   0.05, loss: -0.7738
1441. training reward:   0.86, validation reward:   1.49, loss: -2.9943
1461. training reward:   0.65, validation reward:   0.14, loss: -1.1523
1481. training reward:   1.15, validation reward:   1.25, loss: -1.3916
1501. training reward:   0.86, validation reward:   0.86, loss: -1.2092
1521. training reward:   0.94, validation reward:   1.13, loss: -0.4373
1541. training reward:   1.31, validation reward:   0.95, loss: -0.7240
1561. training reward:   0.95, validation reward:   0.89, loss: -1.9820
1581. training reward:   1.01, validation reward:   0.71, loss: -1.8605
1601. training reward:   0.69, validation reward:   0.74, loss: -0.7853
1621. training reward:   1.35, validation reward:   1.85, loss: -1.1891
1641. training reward:   1.38, validation reward:   0.71, loss: -1.4000
1661. training reward:   1.53, validation reward:   0.97, loss: -0.4968
1681. training reward:   1.39, validation reward:   2.62, loss: -1.6211
1701. training reward:   1.25, validation reward:   0.98, loss: -1.6104
1721. training reward:   1.13, validation reward:   0.71, loss: -0.6666
1741. training reward:   0.99, validation reward:   0.71, loss: -0.6333
1761. training reward:   0.74, validation reward:   1.43, loss: -1.3800
1781. training reward:   1.53, validation reward:   0.56, loss: -1.9604
1801. training reward:   0.80, validation reward:   0.41, loss: -1.8587
1821. training reward:   0.53, validation reward:  -0.43, loss: -3.3097
1841. training reward:   1.61, validation reward:   1.01, loss: -0.3148
1861. training reward:   1.28, validation reward:   2.53, loss: -1.6374
1881. training reward:   1.27, validation reward:   1.45, loss: -0.4045
1901. training reward:   1.24, validation reward:   0.92, loss: -0.3010
1921. training reward:   1.31, validation reward:   0.80, loss: -1.3047
1941. training reward:   1.33, validation reward:   1.99, loss: -1.8433
1961. training reward:   1.08, validation reward:   1.82, loss: -1.0342
1981. training reward:   1.33, validation reward:   1.19, loss: -0.8904
2001. training reward:   1.38, validation reward:   1.01, loss: -0.5730
2021. training reward:   0.56, validation reward:   2.65, loss: -1.4131
2041. training reward:   1.44, validation reward:   0.88, loss: -0.8648
2061. training reward:   1.74, validation reward:   2.26, loss: -2.6314
2081. training reward:   1.63, validation reward:  -0.13, loss: -0.8415
2101. training reward:   1.68, validation reward:   1.76, loss: -0.7748
2121. training reward:   1.18, validation reward:   2.45, loss: -0.8237
2141. training reward:   0.99, validation reward:   1.28, loss: -3.6927
2161. training reward:   1.39, validation reward:   2.78, loss: -1.3874
2181. training reward:   2.22, validation reward:   0.74, loss: -0.4460
2201. training reward:   1.18, validation reward:   1.40, loss: -0.5981
2221. training reward:   1.38, validation reward:   1.79, loss: -0.8413
2241. training reward:   2.46, validation reward:   2.33, loss: -3.1731
